rho,npts,time_vbb_mean,time_vbb_std
0.1,10,0.03670785427093506,0.07765319292292958
0.1,30,0.11452782154083252,0.23943401536309747
0.1,100,0.11380629539489746,0.01456979494039007
0.1,300,0.34825870990753177,0.02029098541033356
0.01,10,0.0146636962890625,0.0006148493434067019
0.01,30,0.044896721839904785,0.0005182548834173715
0.01,100,0.14744420051574708,0.003467008825733433
0.01,300,0.4150048971176148,0.010318603983876528
0.001,10,0.015562748908996582,0.00022161730764222259
0.001,30,0.04876453876495362,0.00033908765141442323
0.001,100,0.16037230491638185,0.0008063372798476165
0.001,300,0.4793785095214844,0.0032076523932276146
